- Dominio: PRODUCTO_NATURAL_HOMEOPATICO | Categoria: FITOTERAPIA | Subcategoria: RELAJANTES Y SEDANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C07 - BETABLOQUEANTES | Subcategoria: [C07C] BETABLOQUEANTES Y OTROS DIURÉTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C07 - BETABLOQUEANTES | Subcategoria: [C07D] BETABLOQUEANTES, TIAZIDAS Y OTROS DIURÉTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C07 - BETABLOQUEANTES | Subcategoria: [C07E] BETABLOQUEANTES Y VASODILATADORES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C07 - BETABLOQUEANTES | Subcategoria: [C07F] BETABLOQUEANTES, OTRAS COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C08 - BLOQUEADORES DE LOS CANALES DE CALCIO | Subcategoria: [C08C] BLOQUEADORES SELECTIVOS DE LOS CANALES DE CALCIO CON EFECTOS PRINCIPALMENTE VASCULARES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C08 - BLOQUEADORES DE LOS CANALES DE CALCIO | Subcategoria: [C08D] BLOQUEADORES SELECTIVOS DE LOS CANALES DE CALCIO CON EFECTOS CARDÍACOS DIRECTOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C08 - BLOQUEADORES DE LOS CANALES DE CALCIO | Subcategoria: [C08E] BLOQUEADORES NO SELECTIVOS DE LOS CANALES DE CALCIO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C08 - BLOQUEADORES DE LOS CANALES DE CALCIO | Subcategoria: [C08G] BLOQUEADORES DE LOS CANALES DE CALCIO Y DIURÉTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA | Subcategoria: [C09A] INHIBIDORES DE LA ECA, SIMPLES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA | Subcategoria: [C09B] INHIBIDORES DE LA ECA, COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA | Subcategoria: [C09C] BLOQUEADORES DE LOS RECEPTORES DE ANGIOTENSINA II (ARA II), SIMPLES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA | Subcategoria: [C09D] BLOQUEADORES DE LOS RECEPTORES DE ANGIOTENSINA II (ARA II), COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA | Subcategoria: [C09X] OTROS AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C10 - AGENTES MODIFICADORES DE LÍPIDOS | Subcategoria: [C10A] AGENTES MODIFICADORES DE LÍPIDOS, SIMPLES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: C10 - AGENTES MODIFICADORES DE LÍPIDOS | Subcategoria: [C10B] AGENTES MODIFICADORES DE LÍPIDOS, COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D01 - ANTIFÚNGICOS PARA USO DERMATOLÓGICO | Subcategoria: [D01A] ANTIFÚNGICOS PARA USO TÓPICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D01 - ANTIFÚNGICOS PARA USO DERMATOLÓGICO | Subcategoria: [D01B] ANTIFÚNGICOS PARA USO SISTÉMICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D02 - EMOLIENTES Y PROTECTORES | Subcategoria: [D02A] EMOLIENTES Y PROTECTORES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D02 - EMOLIENTES Y PROTECTORES | Subcategoria: [D02B] PROTECTORES CONTRA LA RADIACIÓN UV
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D03 - PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ÚLCERAS | Subcategoria: [D03A] CICATRIZANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D03 - PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ÚLCERAS | Subcategoria: [D03B] ENZIMAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D04 - ANTIPRURIGINOSOS, INCL. ANTIHISTAMÍNICOS, ANESTÉSICOS, ETC. | Subcategoria: [D04A] ANTIPRURIGINOSOS, INCL. ANTIHISTAMÍNICOS, ANESTÉSICOS, ETC.
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D05 - ANTIPSORIÁSICOS | Subcategoria: [D05A] ANTIPSORIÁSICOS PARA USO TÓPICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D05 - ANTIPSORIÁSICOS | Subcategoria: [D05B] ANTIPSORIÁSICOS PARA USO SISTÉMICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D06 - ANTIBIÓTICOS Y QUIMIOTERAPÉUTICOS PARA USO DERMATOLÓGICO | Subcategoria: [D06A] ANTIBIÓTICOS PARA USO TÓPICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D06 - ANTIBIÓTICOS Y QUIMIOTERAPÉUTICOS PARA USO DERMATOLÓGICO | Subcategoria: [D06B] QUIMIOTERAPÉUTICOS PARA USO TÓPICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D06 - ANTIBIÓTICOS Y QUIMIOTERAPÉUTICOS PARA USO DERMATOLÓGICO | Subcategoria: [D06C] ANTIBIÓTICOS Y QUIMIOTERAPÉUTICOS, COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D07 - CORTICOSTEROIDES, PREPARADOS DERMATOLÓGICOS | Subcategoria: [D07A] CORTICOSTEROIDES SOLOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D07 - CORTICOSTEROIDES, PREPARADOS DERMATOLÓGICOS | Subcategoria: [D07B] CORTICOSTEROIDES, COMBINACIONES CON ANTISÉPTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D07 - CORTICOSTEROIDES, PREPARADOS DERMATOLÓGICOS | Subcategoria: [D07C] CORTICOSTEROIDES, COMBINACIONES CON ANTIBIÓTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D07 - CORTICOSTEROIDES, PREPARADOS DERMATOLÓGICOS | Subcategoria: [D07X] CORTICOSTEROIDES, OTRAS COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D08 - ANTISÉPTICOS Y DESINFECTANTES | Subcategoria: [D08A] ANTISÉPTICOS Y DESINFECTANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D09 - APÓSITOS MEDICAMENTOSOS | Subcategoria: [D09A] APÓSITOS MEDICAMENTOSOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D10 - PREPARADOS ANTIACNÉ | Subcategoria: [D10A] PREPARADOS ANTIACNÉ PARA USO TÓPICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D10 - PREPARADOS ANTIACNÉ | Subcategoria: [D10B] PREPARADOS ANTIACNÉ PARA USO SISTÉMICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: D11 - OTROS PREPARADOS DERMATOLÓGICOS | Subcategoria: [D11A] OTROS PREPARADOS DERMATOLÓGICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G01 - ANTIINFECCIOSOS Y ANTISÉPTICOS GINECOLÓGICOS | Subcategoria: [G01A] ANTIINFECCIOSOS Y ANTISÉPTICOS, EXCL. COMBINACIONES CON CORTICOSTEROIDES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G01 - ANTIINFECCIOSOS Y ANTISÉPTICOS GINECOLÓGICOS | Subcategoria: [G01B] ANTIINFECCIOSOS/ANTISÉPTICOS EN COMBINACIÓN CON CORTICOSTEROIDES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G02 - OTROS GINECOLÓGICOS | Subcategoria: [G02A] UTEROTÓNICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G02 - OTROS GINECOLÓGICOS | Subcategoria: [G02B] ANTICONCEPTIVOS PARA USO TÓPICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G02 - OTROS GINECOLÓGICOS | Subcategoria: [G02C] OTROS GINECOLÓGICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03A] ANTICONCEPTIVOS HORMONALES PARA USO SISTÉMICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03B] ANDRÓGENOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03C] ESTRÓGENOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03D] PROGESTÁGENOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03E] ANDRÓGENOS Y HORMONAS SEXUALES FEMENINAS EN COMBINACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03F] PROGESTÁGENOS Y ESTRÓGENOS EN COMBINACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03G] GONADOTROPINAS Y OTROS ESTIMULANTES DE LA OVULACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03H] ANTIANDRÓGENOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL | Subcategoria: [G03X] OTRAS HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G04 - UROLÓGICOS | Subcategoria: [G04B] UROLÓGICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: G04 - UROLÓGICOS | Subcategoria: [G04C] FÁRMACOS UTILIZADOS EN LA HIPERTROFIA PROSTÁTICA BENIGNA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H01 - HORMONAS HIPOFISARIAS E HIPOTALÁMICAS Y ANÁLOGOS | Subcategoria: [H01A] HORMONAS DEL LÓBULO ANTERIOR DE LA HIPÓFISIS Y ANÁLOGOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H01 - HORMONAS HIPOFISARIAS E HIPOTALÁMICAS Y ANÁLOGOS | Subcategoria: [H01B] HORMONAS DEL LÓBULO POSTERIOR DE LA HIPÓFISIS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H01 - HORMONAS HIPOFISARIAS E HIPOTALÁMICAS Y ANÁLOGOS | Subcategoria: [H01C] HORMONAS HIPOTALÁMICAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H02 - CORTICOSTEROIDES PARA USO SISTÉMICO | Subcategoria: [H02A] CORTICOSTEROIDES PARA USO SISTÉMICO, SOLOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H02 - CORTICOSTEROIDES PARA USO SISTÉMICO | Subcategoria: [H02B] CORTICOSTEROIDES PARA USO SISTÉMICO, COMBINACIONES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H02 - CORTICOSTEROIDES PARA USO SISTÉMICO | Subcategoria: [H02C] PREPARADOS ANTIADRENALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H03 - TERAPIA TIROIDEA | Subcategoria: [H03A] PREPARADOS TIROIDEOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H03 - TERAPIA TIROIDEA | Subcategoria: [H03B] PREPARADOS ANTITIROIDEOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H03 - TERAPIA TIROIDEA | Subcategoria: [H03C] TERAPIA CON YODO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H04 - HORMONAS PANCREÁTICAS | Subcategoria: [H04A] HORMONAS GLUCOGENOLÍTICAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H05 - HOMEOSTASIS DEL CALCIO | Subcategoria: [H05A] HORMONAS PARATIROIDEAS Y ANÁLOGOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: H05 - HOMEOSTASIS DEL CALCIO | Subcategoria: [H05B] AGENTES ANTIPARATIROIDEOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01A] TETRACICLINAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01B] ANFENICOLES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01C] ANTIBACTERIANOS BETA-LACTÁMICOS, PENICILINAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01D] OTROS ANTIBACTERIANOS BETA-LACTÁMICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01E] SULFONAMIDAS Y TRIMETOPRIMA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01F] MACRÓLIDOS, LINCOSAMIDAS Y ESTREPTOGRAMINAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01G] ANTIBACTERIANOS AMINOGLUCÓSIDOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01M] ANTIBACTERIANOS QUINOLONAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01R] COMBINACIONES DE ANTIBACTERIANOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J01 - ANTIBACTERIANOS PARA USO SISTÉMICO | Subcategoria: [J01X] OTROS ANTIBACTERIANOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J02 - ANTIMICÓTICOS PARA USO SISTÉMICO | Subcategoria: [J02A] ANTIMICÓTICOS PARA USO SISTÉMICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J04 - ANTIMICOBACTERIANOS | Subcategoria: [J04A] FÁRMACOS PARA EL TRATAMIENTO DE LA TUBERCULOSIS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J04 - ANTIMICOBACTERIANOS | Subcategoria: [J04B] FÁRMACOS PARA EL TRATAMIENTO DE LA LEPRA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J05 - ANTIVIRALES PARA USO SISTÉMICO | Subcategoria: [J05A] ANTIVIRALES DE ACCIÓN DIRECTA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J06 - SUEROS INMUNES E INMUNOGLOBULINAS | Subcategoria: [J06A] SUEROS INMUNES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J06 - SUEROS INMUNES E INMUNOGLOBULINAS | Subcategoria: [J06B] INMUNOGLOBULINAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J07 - VACUNAS | Subcategoria: [J07A] VACUNAS BACTERIANAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J07 - VACUNAS | Subcategoria: [J07B] VACUNAS VIRALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J07 - VACUNAS | Subcategoria: [J07C] VACUNAS BACTERIANAS Y VIRALES, COMBINADAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: J07 - VACUNAS | Subcategoria: [J07X] OTRAS VACUNAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L01 - AGENTES ANTINEOPLÁSICOS | Subcategoria: [L01A] AGENTES ALQUILANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L01 - AGENTES ANTINEOPLÁSICOS | Subcategoria: [L01B] ANTIMETABOLITOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L01 - AGENTES ANTINEOPLÁSICOS | Subcategoria: [L01C] ALCALOIDES VEGETALES Y OTROS PRODUCTOS NATURALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L01 - AGENTES ANTINEOPLÁSICOS | Subcategoria: [L01D] ANTIBIÓTICOS CITOTÓXICOS Y SUSTANCIAS RELACIONADAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L01 - AGENTES ANTINEOPLÁSICOS | Subcategoria: [L01E] INHIBIDORES DE LA PROTEÍN QUINASA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L01 - AGENTES ANTINEOPLÁSICOS | Subcategoria: [L01F] ANTICUERPOS MONOCLONALES Y CONJUGADOS FÁRMACO-ANTICUERPO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L01 - AGENTES ANTINEOPLÁSICOS | Subcategoria: [L01X] OTROS AGENTES ANTINEOPLÁSICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L02 - TERAPIA ENDOCRINA | Subcategoria: [L02A] HORMONAS Y AGENTES RELACIONADOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L02 - TERAPIA ENDOCRINA | Subcategoria: [L02B] ANTAGONISTAS HORMONALES Y AGENTES RELACIONADOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L03 - INMUNOESTIMULANTES | Subcategoria: [L03A] INMUNOESTIMULANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: L04 - INMUNOSUPRESORES | Subcategoria: [L04A] INMUNOSUPRESORES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M01 - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS | Subcategoria: [M01A] PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS, NO ESTEROIDEOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M01 - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS | Subcategoria: [M01B] AGENTES ANTIINFLAMATORIOS/ANTIRREUMÁTICOS EN COMBINACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M01 - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS | Subcategoria: [M01C] AGENTES ANTIRREUMÁTICOS ESPECÍFICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M02 - PRODUCTOS TÓPICOS PARA DOLOR ARTICULAR Y MUSCULAR | Subcategoria: [M02A] PRODUCTOS TÓPICOS PARA DOLOR ARTICULAR Y MUSCULAR
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M03 - RELAJANTES MUSCULARES | Subcategoria: [M03A] RELAJANTES MUSCULARES, AGENTES DE ACCIÓN PERIFÉRICA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M03 - RELAJANTES MUSCULARES | Subcategoria: [M03B] RELAJANTES MUSCULARES, AGENTES DE ACCIÓN CENTRAL
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M03 - RELAJANTES MUSCULARES | Subcategoria: [M03C] RELAJANTES MUSCULARES, AGENTES DE ACCIÓN DIRECTA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M04 - PREPARADOS ANTIGOTOSOS | Subcategoria: [M04A] PREPARADOS ANTIGOTOSOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M05 - FÁRMACOS PARA EL TRATAMIENTO DE ENFERMEDADES ÓSEAS | Subcategoria: [M05B] FÁRMACOS QUE AFECTAN LA ESTRUCTURA ÓSEA Y LA MINERALIZACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: M09 - OTROS FÁRMACOS PARA TRASTORNOS DEL SISTEMA MUSCULOESQUELÉTICO | Subcategoria: [M09A] OTROS FÁRMACOS PARA TRASTORNOS DEL SISTEMA MUSCULOESQUELÉTICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N01 - ANESTÉSICOS | Subcategoria: [N01A] ANESTÉSICOS GENERALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N01 - ANESTÉSICOS | Subcategoria: [N01B] ANESTÉSICOS LOCALES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N02 - ANALGÉSICOS | Subcategoria: [N02A] OPIOIDES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N02 - ANALGÉSICOS | Subcategoria: [N02B] OTROS ANALGÉSICOS Y ANTIPIRÉTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N02 - ANALGÉSICOS | Subcategoria: [N02C] PREPARADOS ANTIMIGRAÑOSOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N03 - ANTIEPILÉPTICOS | Subcategoria: [N03A] ANTIEPILÉPTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N04 - FÁRMACOS ANTIPARKINSONIANOS | Subcategoria: [N04A] AGENTES ANTICOLINÉRGICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N04 - FÁRMACOS ANTIPARKINSONIANOS | Subcategoria: [N04B] AGENTES DOPAMINÉRGICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N04 - FÁRMACOS ANTIPARKINSONIANOS | Subcategoria: [N04C] OTROS FÁRMACOS ANTIPARKINSONIANOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N05 - PSICOLÉPTICOS | Subcategoria: [N05A] ANTIPSICÓTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N05 - PSICOLÉPTICOS | Subcategoria: [N05B] ANSIOLÍTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N05 - PSICOLÉPTICOS | Subcategoria: [N05C] HIPNÓTICOS Y SEDANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N06 - PSICOANALÉPTICOS | Subcategoria: [N06A] ANTIDEPRESIVOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N06 - PSICOANALÉPTICOS | Subcategoria: [N06B] PSICOESTIMULANTES, AGENTES UTILIZADOS PARA EL TDAH Y NOOTRÓPICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N06 - PSICOANALÉPTICOS | Subcategoria: [N06C] PSICOLÉPTICOS Y PSICOANALÉPTICOS EN COMBINACIÓN
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N06 - PSICOANALÉPTICOS | Subcategoria: [N06D] FÁRMACOS ANTIDEMENCIA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N07 - OTROS FÁRMACOS DEL SISTEMA NERVIOSO | Subcategoria: [N07A] PARASIMPATOMIMÉTICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N07 - OTROS FÁRMACOS DEL SISTEMA NERVIOSO | Subcategoria: [N07B] FÁRMACOS UTILIZADOS EN TRASTORNOS ADICTIVOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N07 - OTROS FÁRMACOS DEL SISTEMA NERVIOSO | Subcategoria: [N07C] PREPARADOS ANTIVERTIGINOSOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: N07 - OTROS FÁRMACOS DEL SISTEMA NERVIOSO | Subcategoria: [N07X] OTROS FÁRMACOS DEL SISTEMA NERVIOSO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: P01 - ANTIPROTOZOARIOS | Subcategoria: [P01A] AGENTES CONTRA LA AMEBIASIS Y OTRAS ENFERMEDADES POR PROTOZOOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: P01 - ANTIPROTOZOARIOS | Subcategoria: [P01B] ANTIPALÚDICOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: P01 - ANTIPROTOZOARIOS | Subcategoria: [P01C] AGENTES CONTRA LA LEISHMANIASIS Y LA TRIPANOSOMIASIS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: P02 - ANTIHELMÍNTICOS | Subcategoria: [P02B] ANTITREMATODOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: P02 - ANTIHELMÍNTICOS | Subcategoria: [P02C] AGENTES ANTINEMATODOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: P02 - ANTIHELMÍNTICOS | Subcategoria: [P02D] ANTICESTODOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: P03 - ECTOPARASITICIDAS, INCL. ESCABICIDAS, INSECTICIDAS Y REPELENTES | Subcategoria: [P03A] ECTOPARASITICIDAS, INCL. ESCABICIDAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: P03 - ECTOPARASITICIDAS, INCL. ESCABICIDAS, INSECTICIDAS Y REPELENTES | Subcategoria: [P03B] INSECTICIDAS Y REPELENTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R01 - PREPARADOS NASALES | Subcategoria: [R01A] DESCONGESTIONANTES Y OTRAS PREPARACIONES NASALES PARA USO TÓPICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R01 - PREPARADOS NASALES | Subcategoria: [R01B] DESCONGESTIONANTES NASALES PARA USO SISTÉMICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R02 - PREPARACIONES PARA LA GARGANTA | Subcategoria: [R02A] PREPARACIONES PARA LA GARGANTA
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R03 - FÁRMACOS PARA ENFERMEDADES OBSTRUCTIVAS DE LAS VÍAS RESPIRATORIAS | Subcategoria: [R03A] ADRENÉRGICOS, INHALANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R03 - FÁRMACOS PARA ENFERMEDADES OBSTRUCTIVAS DE LAS VÍAS RESPIRATORIAS | Subcategoria: [R03B] OTROS FÁRMACOS PARA ENFERMEDADES OBSTRUCTIVAS DE LAS VÍAS RESPIRATORIAS, INHALANTES
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R03 - FÁRMACOS PARA ENFERMEDADES OBSTRUCTIVAS DE LAS VÍAS RESPIRATORIAS | Subcategoria: [R03C] ADRENÉRGICOS PARA USO SISTÉMICO
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R03 - FÁRMACOS PARA ENFERMEDADES OBSTRUCTIVAS DE LAS VÍAS RESPIRATORIAS | Subcategoria: [R03D] OTROS FÁRMACOS SISTÉMICOS PARA ENFERMEDADES OBSTRUCTIVAS DE LAS VÍAS RESPIRATORIAS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R05 - PREPARADOS PARA LA TOS Y EL RESFRIADO | Subcategoria: [R05C] EXPECTORANTES, EXCL. COMBINACIONES CON ANTITUSIVOS
- Dominio: MEDICAMENTO_ALOPATICO | Categoria: R05 - PREPARADOS PARA LA TOS Y EL RESFRIADO | Subcategoria: [R05D] ANTITUSIVOS, EXCL. COMBINACIONES CON EXPECTORANTES
